SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Exec","Exchange",24,true,"0:5:10:14:152:1:6:70:9:41:2:34:17:22:59:27:81:7:3:50:11:104:8:4"
1,"Exec","Sort",24,true,"14:70:41:34:17:22:59:27:81:50:177:104"
1,"Expr","isnotnull",20,true,"0:5:10:1:6:9:2:7:3:11:8:4"
1,"Exec","AQEShuffleRead",18,true,"152:70:41:128:34:22:59:81:50:177:104"
1,"Exec","ColumnarToRow",12,false,"0:5:10:1:6:9:2:7:3:11:8:4"
1,"Exec","Filter",12,true,"0:5:10:1:6:9:2:7:3:11:8:4"
1,"Exec","Project",12,true,"14:70:41:34:17:22:59:27:81:50:104"
1,"Exec","SortMergeJoin",11,true,"14:70:41:34:17:22:59:27:81:50:104"
1,"Expr","sum",11,true,"128:152:104:70"
1,"Exec","Scan parquet",10,true,"0:10:1:6:9:2:7:3:8:4"
1,"Expr","And",8,true,"0:6"
1,"Expr","avg",8,true,"128:152:104"
1,"Exec","HashAggregate",6,true,"128:152:104:70"
1,"Expr","count",6,true,"128:152:104"
1,"Exec","Scan parquet",2,false,"5:11"
1,"Exec","Window",2,true,"104"
1,"Exec","AdaptiveSparkPlan",1,false,"177"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"177"
1,"Exec","WriteFiles",1,true,"177"
1,"Expr","row_number",1,true,"104"
2,"Exec","Exchange",24,true,"185:184:189:228:179:248:192:188:212:237:205:180:259:181:187:219:306:282:182:186:183:195:200:178"
2,"Exec","Sort",22,true,"228:248:192:212:237:205:259:219:282:195:200"
2,"Expr","isnotnull",20,true,"185:184:189:179:188:180:181:187:182:186:183:178"
2,"Exec","AQEShuffleRead",12,true,"228:248:212:237:259:219"
2,"Exec","ColumnarToRow",12,false,"185:184:189:179:188:180:181:187:182:186:183:178"
2,"Exec","Filter",12,true,"185:184:189:179:188:180:181:187:182:186:183:178"
2,"Exec","Project",11,true,"228:248:192:212:237:205:259:219:282:195:200"
2,"Exec","SortMergeJoin",11,true,"228:248:192:212:237:205:259:219:282:195:200"
2,"Exec","Scan parquet",10,true,"185:184:179:188:180:181:187:182:186:178"
2,"Expr","And",8,true,"178:184"
2,"Exec","HashAggregate",6,true,"331:306:282:248"
2,"Exec","Scan parquet",2,false,"183:189"
2,"Expr","count",2,true,"331:306"
2,"Exec","AdaptiveSparkPlan",1,false,"331"
