stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
118,0,20852,0,9.31,1.8,174.51,20.53,832.53,true,"Success"
118,0,20865,0,11.94,1.8,323.46,20.53,1344.53,true,"Success"
118,0,20876,0,4.68,1.8,111.53,20.53,576.53,true,"Success"
118,0,20886,0,9.44,1.8,198.96,20.53,896.53,true,"Success"
118,0,20915,0,11.39,1.8,259.97,20.53,1024.53,true,"Success"
118,0,20934,0,5.14,1.8,125.63,20.53,704.53,true,"Success"
118,0,20943,0,10.99,1.8,258.03,20.53,1024.53,true,"Success"
118,0,20972,0,11.96,1.8,253.93,20.53,1024.53,true,"Success"
118,0,20974,0,6.10,1.8,134.27,20.53,704.53,true,"Success"
118,0,20995,0,7.32,1.8,155.22,20.53,768.53,true,"Success"
118,0,21021,0,5.51,1.8,105.65,20.53,576.53,true,"Success"
118,0,21048,0,7.67,1.8,179.89,20.53,896.53,true,"Success"
118,0,21053,0,7.99,1.8,159.15,20.53,768.53,true,"Success"
118,0,21062,0,4.83,1.8,114.55,20.53,576.53,true,"Success"
118,0,21069,0,9.49,1.8,180.40,20.53,896.53,true,"Success"
118,0,21072,0,8.70,1.8,203.02,20.53,896.53,true,"Success"
118,0,21095,0,9.02,1.8,174.46,20.53,832.53,true,"Success"
118,0,21099,0,6.22,1.8,131.42,20.53,640.53,true,"Success"
118,0,21130,0,4.70,1.8,134.17,20.53,704.53,true,"Success"
118,0,21152,0,6.65,1.8,129.66,20.53,704.53,true,"Success"
118,0,21154,0,9.79,1.8,236.48,20.53,1024.53,true,"Success"
118,0,21178,0,8.50,1.8,171.41,20.53,768.53,true,"Success"
118,0,21200,0,7.50,1.8,179.72,20.53,896.53,true,"Success"
118,0,21207,0,3.82,1.8,121.20,20.53,640.53,true,"Success"
118,0,21216,0,8.14,1.8,188.57,20.53,896.53,true,"Success"
118,0,21219,0,6.13,1.8,129.72,20.53,704.53,true,"Success"
118,0,21235,0,8.00,1.8,141.43,20.53,768.53,true,"Success"
118,0,21236,0,7.64,1.8,124.03,20.53,640.53,true,"Success"
