sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",2279,"number of written files",28,28,28,28,"sum","92"
1,1,"Execute InsertIntoHadoopFsRelationCommand",2280,"written output",4495184,4495184,4495184,4495184,"size","92"
1,1,"Execute InsertIntoHadoopFsRelationCommand",2281,"number of output rows",136673,136673,136673,136673,"sum","92"
1,1,"Execute InsertIntoHadoopFsRelationCommand",2282,"number of dynamic part",0,0,0,0,"sum","92"
1,1,"Execute InsertIntoHadoopFsRelationCommand",2283,"task commit time",429,3893,10828,109183,"timing","92"
1,1,"Execute InsertIntoHadoopFsRelationCommand",2284,"job commit time",1514,1514,1514,1514,"timing","92"
1,3,"WholeStageCodegen (24)",2285,"duration",1805,27931,53568,782278,"timing","92"
1,4,"Sort",2286,"sort time",0,0,6,30,"timing","92"
1,4,"Sort",2287,"peak memory",67371008,67380363,67633152,1886650368,"size","92"
1,4,"Sort",2288,"spill size",0,0,0,0,"size","92"
1,5,"AQEShuffleRead",2289,"number of partitions",28,28,28,28,"sum",""
1,5,"AQEShuffleRead",2290,"partition data size",1052884,1074555,2112333,31098809,"size",""
1,5,"AQEShuffleRead",2291,"number of coalesced partitions",28,28,28,28,"sum",""
1,6,"Exchange",2177,"data size",31592,46786,80088,30466440,"size","78,92"
1,6,"Exchange",2178,"number of partitions",800,800,800,800,"sum","78,92"
1,6,"Exchange",2179,"remote blocks read",3956,4207,8560,118002,"sum","78,92"
1,6,"Exchange",2180,"local blocks read",19,34,63,1136,"sum","78,92"
1,6,"Exchange",2181,"remote bytes read",993533,1049781,2000368,29393995,"size","78,92"
1,6,"Exchange",2183,"local bytes read",4571,10121,14999,283558,"size","78,92"
1,6,"Exchange",2184,"fetch wait time",0,0,0,0,"timing","78,92"
1,6,"Exchange",2185,"records read",4612,4874,9908,136673,"sum","78,92"
1,6,"Exchange",2194,"remote reqs duration",418,642,1436,18134,"timing","78,92"
1,6,"Exchange",2196,"shuffle bytes written",30876,45560,75528,29677553,"size","78,92"
1,6,"Exchange",2197,"shuffle records written",142,149,359,136673,"sum","78,92"
1,6,"Exchange",2198,"shuffle write time",474534,1273909,19726391,826871396,"nsTiming","78,92"
1,7,"WholeStageCodegen (23)",2199,"duration",70,283,1662,764673,"timing","65,78"
1,8,"HashAggregate",2200,"number of output rows",142,150,359,410019,"sum","65,78"
1,8,"HashAggregate",2201,"peak memory",67371008,67371008,67371008,131171352576,"size","65,78"
1,8,"HashAggregate",2203,"time in aggregation build",60,252,1647,692294,"timing","65,78"
1,8,"HashAggregate",2204,"avg hash probes per key",10,10,10,19470,"average","65,78"
1,9,"AQEShuffleRead",2206,"number of partitions",649,649,649,649,"sum",""
1,9,"AQEShuffleRead",2207,"partition data size",1788528,2391379,4298829,1788444641,"size",""
1,9,"AQEShuffleRead",2208,"number of coalesced partitions",151,151,151,151,"sum",""
1,10,"Exchange",2095,"data size",18161928,18258744,18335504,7303537944,"size","52,65,78"
1,10,"Exchange",2096,"number of partitions",800,800,800,800,"sum","52,65,78"
1,10,"Exchange",2097,"remote blocks read",392,392,800,950396,"sum","52,65,78"
1,10,"Exchange",2098,"local blocks read",4,4,16,9604,"sum","52,65,78"
1,10,"Exchange",2099,"remote bytes read",1687342,2600419,4089821,5063188476,"size","52,65,78"
1,10,"Exchange",2101,"local bytes read",16860,27215,82449,51137196,"size","52,65,78"
1,10,"Exchange",2102,"fetch wait time",0,101,1449,254608,"timing","52,65,78"
1,10,"Exchange",2103,"records read",26886,41621,66676,81346002,"sum","52,65,78"
1,10,"Exchange",2112,"remote reqs duration",393,3943,79553,6806898,"timing","52,65,78"
1,10,"Exchange",2114,"shuffle bytes written",4238507,4261835,4286401,1704775224,"size","52,65,78"
1,10,"Exchange",2115,"shuffle records written",67435,67695,68071,27115334,"sum","52,65,78"
1,10,"Exchange",2116,"shuffle write time",4985100,7491044,133660014,2996457318,"nsTiming","52,65,78"
1,11,"WholeStageCodegen (22)",2117,"duration",1995,3551,4373,1459606,"timing","52"
1,12,"HashAggregate",2118,"number of output rows",67435,67695,68071,27115334,"sum","52"
1,12,"HashAggregate",2119,"peak memory",67371008,67371008,67371008,26948403200,"size","52"
1,12,"HashAggregate",2121,"time in aggregation build",1938,3128,3940,1286206,"timing","52"
1,12,"HashAggregate",2122,"avg hash probes per key",11,11,11,4400,"average","52"
1,13,"HashAggregate",2124,"number of output rows",762285,764186,766398,305713034,"sum","52"
1,13,"HashAggregate",2125,"peak memory",234881024,234881024,234881024,93952409600,"size","52"
1,13,"HashAggregate",2127,"time in aggregation build",1416,2270,3035,946429,"timing","52"
1,13,"HashAggregate",2128,"avg hash probes per key",15,15,15,6000,"average","52"
1,14,"AQEShuffleRead",2130,"number of partitions",400,400,400,400,"sum",""
1,14,"AQEShuffleRead",2131,"partition data size",54704908,55086702,55383914,22034578992,"size",""
1,14,"AQEShuffleRead",2132,"number of coalesced partitions",400,400,400,400,"sum",""
1,15,"Exchange",1976,"data size",135817288,272172300,817466656,99342920208,"size","40,52"
1,15,"Exchange",1977,"number of partitions",800,800,800,800,"sum","40,52"
1,15,"Exchange",1978,"remote blocks read",718,718,730,288984,"sum","40,52"
1,15,"Exchange",1979,"local blocks read",8,8,12,3016,"sum","40,52"
1,15,"Exchange",1980,"remote bytes read",51257439,51789058,52545294,20715663698,"size","40,52"
1,15,"Exchange",1982,"local bytes read",283286,613069,931871,215830679,"size","40,52"
1,15,"Exchange",1983,"fetch wait time",0,0,66,307,"timing","40,52"
1,15,"Exchange",1984,"records read",1049817,1055620,1061389,422287417,"sum","40,52"
1,15,"Exchange",1993,"remote reqs duration",2720,46731,107507,18730877,"timing","40,52"
1,15,"Exchange",1995,"shuffle bytes written",28652332,57346468,172593635,20931494377,"size","40,52"
1,15,"Exchange",1996,"shuffle records written",577341,1156861,3474844,422287417,"sum","40,52"
1,15,"Exchange",1997,"shuffle write time",18528408,48613813,454243608,17744075521,"nsTiming","40,52"
1,16,"WholeStageCodegen (21)",1998,"duration",1470,3856,11446,1443243,"timing","40"
1,17,"HashAggregate",1999,"number of output rows",577341,1156861,3474844,422287417,"sum","40"
1,17,"HashAggregate",2000,"peak memory",234881024,398792036,1073741824,145559126016,"size","40"
1,17,"HashAggregate",2002,"time in aggregation build",1074,2673,9475,1008340,"timing","40"
1,17,"HashAggregate",2003,"avg hash probes per key",13,13,15,5143,"average","40"
1,18,"Expand",2005,"number of output rows",1012413,2031393,6090504,741491349,"sum","40"
1,20,"SortMergeJoin",2006,"number of output rows",337471,677064,2030168,247163783,"sum","40"
1,20,"SortMergeJoin",2007,"spill size",0,0,0,0,"size","40"
1,21,"WholeStageCodegen (19)",2009,"duration",1103,4090,13581,1526347,"timing","40"
1,22,"Sort",2010,"sort time",0,0,28,3201,"timing","40"
1,22,"Sort",2011,"peak memory",83886080,165381889,402653184,60364423168,"size","40"
1,22,"Sort",2012,"spill size",0,0,0,0,"size","40"
1,23,"AQEShuffleRead",2013,"number of partitions",365,365,365,365,"sum",""
1,23,"AQEShuffleRead",2014,"partition data size",16276388,32315766,93200512,11794799197,"size",""
1,23,"AQEShuffleRead",2015,"number of coalesced partitions",213,213,213,213,"sum",""
1,24,"Exchange",1827,"data size",5476992,143029627,541223104,38331958464,"size","29,40"
1,24,"Exchange",1828,"number of partitions",800,800,800,800,"sum","29,40"
1,24,"Exchange",1829,"remote blocks read",256,259,532,127141,"sum","29,40"
1,24,"Exchange",1830,"local blocks read",2,2,18,1499,"sum","29,40"
1,24,"Exchange",1831,"remote bytes read",15019731,30463360,87939340,11119159870,"size","29,40"
1,24,"Exchange",1833,"local bytes read",58635,363798,2020739,132818560,"size","29,40"
1,24,"Exchange",1834,"fetch wait time",0,0,283,1297,"timing","29,40"
1,24,"Exchange",1835,"records read",337471,677064,2030168,247163783,"sum","29,40"
1,24,"Exchange",1844,"remote reqs duration",2628,18508,41353,6788531,"timing","29,40"
