sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,3,"WholeStageCodegen (24)","Sort",4
1,7,"WholeStageCodegen (23)","HashAggregate",8
1,11,"WholeStageCodegen (22)","HashAggregate",12
1,11,"WholeStageCodegen (22)","HashAggregate",13
1,16,"WholeStageCodegen (21)","HashAggregate",17
1,16,"WholeStageCodegen (21)","Expand",18
1,16,"WholeStageCodegen (21)","Project",19
1,16,"WholeStageCodegen (21)","SortMergeJoin",20
1,21,"WholeStageCodegen (19)","Sort",22
1,25,"WholeStageCodegen (18)","Project",26
1,25,"WholeStageCodegen (18)","SortMergeJoin",27
1,28,"WholeStageCodegen (16)","Sort",29
1,32,"WholeStageCodegen (15)","Project",33
1,32,"WholeStageCodegen (15)","SortMergeJoin",34
1,35,"WholeStageCodegen (13)","Sort",36
1,39,"WholeStageCodegen (12)","Project",40
1,39,"WholeStageCodegen (12)","SortMergeJoin",41
1,42,"WholeStageCodegen (10)","Sort",43
1,45,"WholeStageCodegen (9)","Project",46
1,45,"WholeStageCodegen (9)","SortMergeJoin",47
1,48,"WholeStageCodegen (7)","Sort",49
1,51,"WholeStageCodegen (1)","Filter",52
1,51,"WholeStageCodegen (1)","ColumnarToRow",53
1,55,"WholeStageCodegen (8)","Sort",56
1,58,"WholeStageCodegen (2)","Filter",59
1,58,"WholeStageCodegen (2)","ColumnarToRow",60
1,62,"WholeStageCodegen (11)","Sort",63
1,65,"WholeStageCodegen (3)","Filter",66
1,65,"WholeStageCodegen (3)","ColumnarToRow",67
1,69,"WholeStageCodegen (14)","Sort",70
1,73,"WholeStageCodegen (4)","Filter",74
1,73,"WholeStageCodegen (4)","ColumnarToRow",75
1,77,"WholeStageCodegen (17)","Sort",78
1,81,"WholeStageCodegen (5)","Filter",82
1,81,"WholeStageCodegen (5)","ColumnarToRow",83
1,85,"WholeStageCodegen (20)","Sort",86
1,89,"WholeStageCodegen (6)","Filter",90
1,89,"WholeStageCodegen (6)","ColumnarToRow",91
2,1,"WholeStageCodegen (23)","HashAggregate",2
2,4,"WholeStageCodegen (22)","HashAggregate",5
2,4,"WholeStageCodegen (22)","HashAggregate",6
2,9,"WholeStageCodegen (21)","HashAggregate",10
2,9,"WholeStageCodegen (21)","Project",11
2,9,"WholeStageCodegen (21)","SortMergeJoin",12
2,13,"WholeStageCodegen (19)","Sort",14
2,17,"WholeStageCodegen (18)","Project",18
2,17,"WholeStageCodegen (18)","SortMergeJoin",19
2,20,"WholeStageCodegen (16)","Sort",21
2,24,"WholeStageCodegen (15)","Project",25
2,24,"WholeStageCodegen (15)","SortMergeJoin",26
2,27,"WholeStageCodegen (13)","Sort",28
2,31,"WholeStageCodegen (12)","Project",32
2,31,"WholeStageCodegen (12)","SortMergeJoin",33
2,34,"WholeStageCodegen (10)","Sort",35
2,37,"WholeStageCodegen (9)","Project",38
2,37,"WholeStageCodegen (9)","SortMergeJoin",39
2,40,"WholeStageCodegen (7)","Sort",41
2,43,"WholeStageCodegen (1)","Filter",44
2,43,"WholeStageCodegen (1)","ColumnarToRow",45
2,47,"WholeStageCodegen (8)","Sort",48
2,50,"WholeStageCodegen (2)","Filter",51
2,50,"WholeStageCodegen (2)","ColumnarToRow",52
2,54,"WholeStageCodegen (11)","Sort",55
2,57,"WholeStageCodegen (3)","Filter",58
2,57,"WholeStageCodegen (3)","ColumnarToRow",59
2,61,"WholeStageCodegen (14)","Sort",62
2,65,"WholeStageCodegen (4)","Filter",66
2,65,"WholeStageCodegen (4)","ColumnarToRow",67
2,69,"WholeStageCodegen (17)","Sort",70
2,73,"WholeStageCodegen (5)","Filter",74
2,73,"WholeStageCodegen (5)","ColumnarToRow",75
2,77,"WholeStageCodegen (20)","Sort",78
2,81,"WholeStageCodegen (6)","Filter",82
2,81,"WholeStageCodegen (6)","ColumnarToRow",83
