SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Expr","sum",16,true,"65:78:52:40"
1,"Exec","Exchange",13,true,"0:5:52:20:78:29:1:13:2:3:40:8:4"
1,"Expr","first",12,true,"65:78:52"
1,"Exec","Sort",11,true,"20:29:92:13:40:8"
1,"Expr","isnotnull",10,true,"0:5:1:2:3:4"
1,"Exec","AQEShuffleRead",9,true,"52:20:78:29:92:65:40"
1,"Expr","count",8,true,"65:78:52:40"
1,"Exec","ColumnarToRow",6,false,"0:5:1:2:3:4"
1,"Exec","Filter",6,true,"0:5:1:2:3:4"
1,"Exec","Project",5,true,"20:29:13:40:8"
1,"Exec","Scan parquet",5,true,"0:1:2:3:4"
1,"Exec","SortMergeJoin",5,true,"20:29:13:40:8"
1,"Expr","And",4,true,"0"
1,"Exec","HashAggregate",4,true,"65:78:52:40"
1,"Expr","avg",4,true,"65:78:52:40"
1,"Exec","AdaptiveSparkPlan",1,false,"92"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"92"
1,"Exec","Expand",1,true,"40"
1,"Exec","Scan parquet",1,false,"5"
1,"Exec","WriteFiles",1,true,"92"
2,"Exec","Exchange",12,true,"101:93:106:133:97:96:113:98:145:95:94:122"
2,"Exec","Sort",10,true,"101:106:133:113:122"
2,"Expr","isnotnull",10,true,"93:97:96:98:95:94"
2,"Exec","AQEShuffleRead",7,true,"145:133:122:113"
2,"Exec","ColumnarToRow",6,false,"93:97:96:98:95:94"
2,"Exec","Filter",6,true,"93:97:96:98:95:94"
2,"Exec","Project",5,true,"101:106:133:113:122"
2,"Exec","Scan parquet",5,true,"93:97:96:95:94"
2,"Exec","SortMergeJoin",5,true,"101:106:133:113:122"
2,"Expr","And",4,true,"93"
2,"Exec","HashAggregate",4,true,"158:145:133"
2,"Expr","count",2,true,"158:145"
2,"Exec","AdaptiveSparkPlan",1,false,"158"
2,"Exec","Scan parquet",1,false,"98"
